City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
Kamenka,51.3223,42.7678,77.2,33.0,0.0,8.59,RU,1627034150.0,Gostinyj Dvor Mini-hotel
Zlobin,45.2924,14.6541,77.16,30.0,0.0,4.61,HR,1627034680.0,Hotel Bitoraj Fuzine
Mossamedes,-15.1961,12.1522,75.88,57.0,0.0,5.64,AO,1627034789.0,Hotel Chik Chik Namibe
Lüderitz,-26.6481,15.1594,70.5,20.0,0.0,9.24,,1627034843.0,LÜDERITZ NEST HOTEL
Zarechnyy,53.2036,45.1923,72.48,37.0,0.0,8.57,RU,1627035156.0,Penza Hotel
Henties Bay,-22.116,14.2845,77.85,20.0,0.0,9.66,,1627035166.0,Desert Rose
Médéa,36.2642,2.7539,79.25,16.0,0.0,5.53,DZ,1627035179.0,Hôtel Mongorno
